"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
"4919","174","18,057,500","63","6,489,500",
"4927","30","1,504,300","48","2,419,700",
"4930","0","0","0","0",
"4934","0","0","0","0",
"4935","1","55,000","11","604,100",
"4938","0","0","591","34,548,400",
"4942","0","0","0","0",
"4943","0","0","0","0",
"4952","2","90,200","0","0",
"4956","0","0","0","0",
"4958","13","1,398,000","200","21,376,000",
"4960","0","0","0","0",
"4961","67","6,958,500","466","48,257,500",
"4967","0","0","0","0",
"4968","139","13,909,300","223","22,707,100",
"4976","25","873,850","10","349,150",
"4977","25","2,292,600","0","0",
"4989","5","123,000","0","0",
"4994","0","0","0","0",
"4999","0","0","0","0",
"5007","0","0","5","263,000",
"5203","0","0","12","1,056,100",
"5215","1","51,300","23","1,180,900",
"5222","0","0","7","896,500",
"5225","52","1,816,200","2","68,450",
"5234","0","0","1","59,300",
"5243","2","118,400","36","2,131,600",
"5244","0","0","1","21,650",
"5258","283","16,759,500","561","32,976,300",
"5269","2","1,173,000","11","6,401,000",
"5283","0","0","0","0",
